LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,610,Berrien County,101,Berrien High School,All Students,Writing,1267239,84548,107,107,474,456,456
2010-11,611,Bibb County,105,Howard High School,All Students,Combined,1267239,84678,1023,219,1451,1280,1354
2010-11,611,Bibb County,105,Howard High School,All Students,Mathematics,1267239,84799,1019,217,490,427,449
2010-11,611,Bibb County,105,Howard High School,All Students,Reading,1267239,84686,1021,217,486,434,461
2010-11,611,Bibb County,105,Howard High School,All Students,Writing,1267239,84548,1028,222,474,419,444
2010-11,611,Bibb County,186,Central High School,All Students,Combined,1267239,84678,1023,164,1451,1280,1374
2010-11,611,Bibb County,186,Central High School,All Students,Mathematics,1267239,84799,1019,164,490,427,453
2010-11,611,Bibb County,186,Central High School,All Students,Reading,1267239,84686,1021,163,486,434,467
2010-11,611,Bibb County,186,Central High School,All Students,Writing,1267239,84548,1028,165,474,419,453
2010-11,611,Bibb County,198,Westside High,All Students,Combined,1267239,84678,1023,178,1451,1280,1237
2010-11,611,Bibb County,198,Westside High,All Students,Mathematics,1267239,84799,1019,179,490,427,418
2010-11,611,Bibb County,198,Westside High,All Students,Reading,1267239,84686,1021,177,486,434,418
2010-11,611,Bibb County,198,Westside High,All Students,Writing,1267239,84548,1028,177,474,419,401
2010-11,611,Bibb County,204,Rutland High School,All Students,Combined,1267239,84678,1023,181,1451,1280,1350
2010-11,611,Bibb County,204,Rutland High School,All Students,Mathematics,1267239,84799,1019,177,490,427,455
2010-11,611,Bibb County,204,Rutland High School,All Students,Reading,1267239,84686,1021,182,486,434,458
2010-11,611,Bibb County,204,Rutland High School,All Students,Writing,1267239,84548,1028,185,474,419,437
2010-11,611,Bibb County,286,Northeast High School,All Students,Combined,1267239,84678,1023,126,1451,1280,1164
2010-11,611,Bibb County,286,Northeast High School,All Students,Mathematics,1267239,84799,1019,126,490,427,386
2010-11,611,Bibb County,286,Northeast High School,All Students,Reading,1267239,84686,1021,126,486,434,393
2010-11,611,Bibb County,286,Northeast High School,All Students,Writing,1267239,84548,1028,125,474,419,384
